Title,link,Price,Details
Samsung Galaxy Z Flip6,https://images.ctfassets.net/t00ajdlq0g9p/2z3pmI2HNUpWm2DVqQZNBP/5aff24851e732a4e5b6de83dd99e8616/samsung-flip6-mint-group.png?h=269&w=403&fm=webp&q=100,$40.97 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,807.00,"
iPhone 15 Pro Max,https://images.ctfassets.net/t00ajdlq0g9p/148MwoEnIU1Fx1zNcciAwG/a43bd8dd38ecc7a7d2d3047200edcbbb/apple-15-Pro-black-pos1.png?h=269&w=403&fm=webp&q=100,$81.41 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,953.72,"
iPhone 15 Pro,https://images.ctfassets.net/t00ajdlq0g9p/148MwoEnIU1Fx1zNcciAwG/a43bd8dd38ecc7a7d2d3047200edcbbb/apple-15-Pro-black-pos1.png?h=269&w=403&fm=webp&q=100,$43.46 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,043.00,"
Samsung Galaxy S24,https://images.ctfassets.net/t00ajdlq0g9p/5f3svge2gw2IBK6pme9W3j/87e74acf55b287af4946dd91f15bdd2a/samsung-galaxy-s24-black-main.png?h=269&w=403&fm=webp&q=100,$30.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,358.49,"
iPhone 14,https://images.ctfassets.net/t00ajdlq0g9p/3WhfwrE47HJ0oljoL6kqIm/b36af9654a429f5ee9d4f06188a7b307/apple-14-midnight-pos1.png?h=269&w=403&fm=webp&q=100,$36.38 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $873.00,"
Samsung Galaxy S24,https://images.ctfassets.net/t00ajdlq0g9p/5f3svge2gw2IBK6pme9W3j/87e74acf55b287af4946dd91f15bdd2a/samsung-galaxy-s24-black-main.png?h=269&w=403&fm=webp&q=100,$28.34 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $800.00,"
iPhone 13 Pro,https://images.ctfassets.net/t00ajdlq0g9p/5NjSeIZQjuvZVs6AYmK57L/e49655af795dedd33899ebc206be4e0b/iPhone13-pro-green-pos1.png?h=269&w=403&fm=webp&q=100,$10.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $950.00,"
moto g 5G - 2024,https://images.ctfassets.net/t00ajdlq0g9p/52opijrLyXW4jfBr6gmOvb/577ce55021e07a1defc78fd5c8b4573a/motorola-moto-5G-front.png?h=269&w=403&fm=webp&q=100,$7.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $249.99,"
Samsung Galaxy S24 & Galaxy BudsFE,https://images.ctfassets.net/t00ajdlq0g9p/1deUnTjaiLy5MSTBAlsdZF/7442d3e738cfae9a3928697eed2d6f7c/samsung-galaxy-s24-buds-main.png?h=269&w=403&fm=webp&q=100,$35.83 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,498.49,"
Samsung Galaxy S24 Ultra & Galaxy BudsFE,https://images.ctfassets.net/t00ajdlq0g9p/4B3CLlznuNnqLh0vpnsVEN/71bcd622c236bc8bfd9fb82a1ded068a/samsung-galaxy-s24-ultra-buds-main.png?h=269&w=403&fm=webp&q=100,$80.83 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $2,362.99,"
